회원번호,조합원상태,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,연령대,구매금액,구,동,연령60이상,방문횟수,연령대_4560대
355893568,1,0,49.0,0,0,0,40대,217861.0,기흥구,공세동,0,21,1
356409536,1,0,54.0,0,0,0,50대,43648.0,수지구,풍덕천동,0,7,1
356431808,1,0,45.0,0,0,0,40대,202166.0,중원구,산성동,0,18,1
356608128,1,0,53.0,0,0,0,50대,12061.0,수원 팔달구,기타,0,1,1
356673088,1,0,45.0,0,0,0,40대,8615.0,기타,기타,0,1,1
356684224,1,0,49.0,0,0,0,40대,204555.0,수지구,동천동,0,8,1
356795584,1,0,54.0,0,0,0,50대,93329.0,수지구,죽전동,0,7,1
356884672,1,0,53.0,0,0,0,50대,7275.0,분당구,백현동,0,1,1
356979328,1,0,57.0,0,0,0,50대,72939.0,수지구,동천동,0,3,1
357085120,1,1,54.0,0,0,0,50대,31779.0,기타,기타,0,1,1
357161216,1,0,49.0,0,0,0,40대,272419.0,수지구,동천동,0,30,1
357357952,1,0,53.0,0,1,1,50대,3315282.0,수지구,풍덕천동,0,79,1
357415488,1,0,50.0,0,0,0,50대,79160.0,화성,기타,0,4,1
357443328,1,0,48.0,0,0,0,40대,255766.0,기흥구,죽전동,0,2,1
357539840,1,0,48.0,1,0,0,40대,840828.0,수지구,동천동,0,25,1
357853504,1,0,46.0,0,0,0,40대,11487.0,기흥구,보라동,0,2,1
358094784,1,0,75.0,0,0,0,70대이상,88447.0,수지구,신봉동,1,7,0
358508672,1,0,43.0,0,0,0,40대,66813.0,수지구,죽전동,0,2,1
358686848,1,0,53.0,0,0,0,50대,30821.0,서울 강남구,기타,0,1,1
358757376,1,0,60.0,0,0,0,60대,180816.0,수지구,신봉동,1,11,1
358775936,1,0,49.0,0,0,0,40대,30095.0,수지구,풍덕천동,0,1,1
358781504,1,0,52.0,1,0,0,50대,1012707.0,수지구,성복동,0,27,1
358824192,1,0,61.0,0,0,0,60대,82893.0,수지구,신봉동,1,2,1
358842752,1,0,59.0,1,0,0,50대,961940.0,수지구,동천동,0,30,1
359015360,1,0,45.0,0,0,0,40대,14357.0,분당구,서현동,0,2,1
359627840,1,0,53.0,0,0,0,50대,261608.0,수지구,신봉동,0,19,1
359848704,1,0,46.0,0,0,0,40대,151429.0,수지구,풍덕천동,0,4,1
359870976,1,0,58.0,0,0,0,50대,38288.0,기타,기타,0,1,1
359948928,1,0,50.0,0,0,0,50대,28525.0,기흥구,상갈동,0,1,1
360232896,1,0,55.0,0,0,0,50대,131424.0,수지구,동천동,0,5,1
360297856,1,0,78.0,0,0,0,70대이상,2172869.0,수지구,신봉동,1,71,0
360383232,1,0,57.0,0,0,0,50대,219582.0,수지구,신봉동,0,21,1
360450048,1,0,85.0,0,0,0,70대이상,265434.0,수지구,상현동,1,7,0
360474176,1,0,42.0,0,0,0,40대,267347.0,수지구,성복동,0,11,1
360509440,1,0,43.0,0,0,0,40대,32928.0,기타,기타,0,2,1
360767424,1,0,46.0,0,0,0,40대,51689.0,수지구,성복동,0,2,1
361147904,1,0,46.0,0,0,0,40대,36948.0,수원 영통구,기타,0,3,1
361381760,1,0,43.0,0,0,0,40대,250308.0,수지구,동천동,0,5,1
361507968,1,0,75.0,0,0,0,70대이상,4977.0,기흥구,마북동,1,1,0
361762240,1,0,49.0,0,0,0,40대,1551432.0,수지구,동천동,0,46,1
362304192,1,0,54.0,0,0,0,50대,241024.0,수지구,신봉동,0,1,1
362352448,1,0,46.0,0,1,0,40대,1373964.0,수지구,성복동,0,58,1
362747776,1,0,45.0,0,1,0,40대,53987.0,기타,기타,0,1,1
362835008,1,0,50.0,0,0,0,50대,368636.0,수지구,풍덕천동,0,25,1
362836864,1,0,57.0,0,0,0,50대,8232.0,분당구,분당동,0,1,1
362929664,1,1,62.0,0,0,0,60대,407578.0,수지구,신봉동,1,9,1
